//############################################
// POWERED BY MU ENGINE                                    //
//                    WWW.MUENGINE.ORG                      //
//###########################################

//--------------------------------------------------------------------------------//
//	SrvCode		MapServerGroup	InitSetting	IpAddress	PortNum   //
//--------------------------------------------------------------------------------//
0
	11		0		1		S192.168.1.2	55911
	19		0		0		S192.168.1.2	55919
end

//--------------------------------------------------------------------------------//
//	SrvCode		MoveAbleOption	Map		DestServerCode            //
//--------------------------------------------------------------------------------//
1
	11		0 		30 		19
	11 		0 		31 		19
	11		0 		34 		19
	11		0		41		19
	11		0		42		19

	19		1		30		-1
	19		1		31		-1
	19		1		34		-1
	19		1		41		-1
	19		1		42		-1
end
