//############################################
// POWERED BY MU ENGINE                                    //
//                    WWW.MUENGINE.ORG                      //
//###########################################

//[Devias] Isabel Wizard
//Type	Index	Level	Dur	Skill	Luck	Option		
							
14	0	0	1	0	0	0 	
14	1	0	1	0	0	0 	
14	2	0	1	0	0	0 	
14	3	0	1	0	0	0 	
14	4	0	1	0	0	0 	
14	5	0	1	0	0	0 	
14	6	0	1	0	0	0 	
14	8	0	1	0	0	0 	
14	0	0	3	0	0	0 	
14	1	0	3	0	0	0 	
14	2	0	3	0	0	0 	
14	3	0	3	0	0	0 	
14	4	0	3	0	0	0 	
14	5	0	3	0	0	0 	
14	6	0	3	0	0	0  	
14	8	0	3	0	0	0 	
							
14	0	1	1	0	0	0 	
14	1	1	1	0	0	0 	
14	2	1	1	0	0	0 	
14	3	1	1	0	0	0 	
14	0	1	3	0	0	0 	
14	1	1	3	0	0	0 	
14	2	1	3	0	0	0 	
14	3	1	3	0	0	0 	
							
7	3	6	0	0	1	1 	
8	3	6	0	0	1	1 	
9	3	6	0	0	1	1 	
10	3	6	0	0	1	1 	
11	3	6	0	0	1	1 	
							
13	29	0	1	0	0	0 	
14	10	0	1	0	0	0 	
							
4	7	0	255	0	0	0 	
4	7	1	255	0	0	0 	
4	7	2	255	0	0	0 	
4	15	0	255	0	0	0 	
4	15	1	255	0	0	0 	
4	15	2	255	0	0	0 	
						
5	4	3	0	0	1	1 	
5	5	3	0	0	1	1 	
							
6	14	3	0	1	1	1 	
							
15	4	0	1	0	0	0 	
15	7	0	1	0	0	0 	
10	19	6	0	0	1	1 	
11	19	6	0	0	1	1 	
7	41	6	0	1	1	1 	
8	41	6	0	1	1	1 	
9	41	6	0	1	1	1 	
end							
