//############################################
// POWERED BY MU ENGINE                                    //
//                    WWW.MUENGINE.ORG                      //
//###########################################

//[Devias] Lumen The Barmaid
//Type	Index	Level	Dur	Skill	Luck	Option		
							
14	9	0	1	0	0	0 	
14	10	0	1	0	0	0 	
							
13	16	1	0	0	0	0 	
13	16	2	0	0	0	0 	
13	17	1	0	0	0	0 	
13	17	2	0	0	0	0 	
14	17	1	0	0	0	0 	
14	17	2	0	0	0	0 	
14	18	1	0	0	0	0 	
14	18	2	0	0	0	0 	
10	41	6	0	1	1	1 	
11	41	6	0	1	1	1	
13	29	0	0	0	0	0 	
12	0	0	200	1	1	1	
12	1	0	200	1	1	1 	
12	2	0	200	1	1	1 	
//12	14	0	200	1	1	1 	
end							
