//############################################
// POWERED BY MU ENGINE                                    //
//                    WWW.MUENGINE.ORG                      //
//###########################################

//[Devias] Zienna Weapons Merchant
//Type	Index	Level	Dur	Skill	Luck	Option		
							
7	1	6	0	0	1	1 	
8	1	6	0	0	1	1 	
9	1	6	0	0	1	1 	
10	1	6	0	0	1	1 	
11	1	6	0	0	1	1 	
							
0	9	6	0	1	1	1 	
0	11	6	0	1	1	1 	
0	15	6	0	1	1	1 	
0	13	6	0	1	1	1 	
0	12	6	0	1	1	1 	
0	14	6	0	1	1	1 	
4	12	6	0	1	1	1 	
3	8	6	0	1	1	1 	
3	9	6	0	1	1	1 	
4	5	6	0	1	1	1 	
4	13	6	0	1	1	1 	
10	26	6	0	0	1	1 	
11	26	6	0	0	1	1 	
7	19	6	0	0	1	1 	
8	19	6	0	0	1	1 	
9	19	6	0	0	1	1 	
end							
