//############################################
// POWERED BY MU ENGINE                                    //
//                    WWW.MUENGINE.ORG                      //
//###########################################

//[Noria] Eo The Craftsman
//Type	Index	Level	Dur	Skill	Luck	Option		
							
7	13	6	0	0	1	1 	
8	13	6	0	0	1	1 	
9	13	6	0	0	1	1 	
10	13	6	0	0	1	1 	
11	13	6	0	0	1	1  
7	14	6	0	0	1	1 	
8	14	6	0	0	1	1 	
9	14	6	0	0	1	1 	
10	14	6	0	0	1	1 	
11	14	6	0	0	1	1 	
							
4	8	4	0	1	1	1 	
4	9	6	0	1	1	1 	
4	0	3	0	1	1	1 	
4	1	3	0	1	1	1 	
4	2	5	0	1	1	1 	
4	3	6	0	1	1	1 	
4	11	6	0	1	1	1 	
4	4	6	0	1	1	1 	
4	10	6	0	1	1	1 	
							
6	3	6	0	1	1	1 	

end							
