//############################################
// POWERED BY MU ENGINE                                    //
//                    WWW.MUENGINE.ORG                      //
//###########################################

//[Lorencia] Pasi The Mage
//Type	Index	Level	Dur	Skill	Luck	Option						
						
7	2	3	0	0	1	1 	
8	2	3	0	0	1	1 	
9	2	3	0	0	1	1 	
10	2	3	0	0	1	1 	
11	2	3	0	0	1	1 	
7	4	5	0	0	1	1 	
8	4	5	0	0	1	1 	
9	4	5	0	0	1	1 	
10	4	5	0	0	1	1 	
11	4	5	0	0	1	1 	
7	7	6	0	0	1	1 	
8	7	6	0	0	1	1 	
9	7	6	0	0	1	1 	
10	7	6	0	0	1	1 	
11	7	6	0	0	1	1 	
							
5	3	3	0	0	1	1 	
5	0	0	0	0	1	1 	
5	1	2	0	0	1	1 	
5	2	3	0	0	1	1 	
end							
