//Index Req1    Req2    Req3   ReqP    MaxL    DW-Val	DK-Val FE-Val	MG-Val	DL-Val	SU-Val	RF-Val	DW	DK	FE	MG	DL	SU	RF																
1																
300	0	0	0	1	20	12.04	12.04	12.04	12.04	12.04	12.04	0	1	1	1	1	1	1	0			
301	0	0	0	1	20	614.18	614.18	614.18	614.18	614.18	614.18	0	4	4	4	4	4	4	0			
302	0	0	0	1	20	511.73	511.73	511.73	511.73	511.73	511.73	0	6	6	6	6	6	6	0			
303	0	0	0	1	20	1.81	1.81	1.81	1.81	1.81	1.81	0	7	7	7	7	7	7	0			
304	0	0	0	1	20	1.2	1.2	1.2	1.2	1.2	1.2	0	8	8	8	8	8	8	0			
305	300	0	0	1	20	12.04	12.04	12.04	12.04	12.04	12.04	0	9	9	9	9	9	9	0			
306	302	0	0	1	20	1.2	1.2	1.2	1.2	1.2	1.2	0	10	10	10	10	10	10	0			
307	303	0	0	1	20	1.2	1.2	1.2	1.2	1.2	1.2	0	11	11	11	11	11	11	0			
308	304	0	0	1	20	1.2	1.2	1.2	1.2	1.2	1.2	0	12	12	12	12	12	12	0			
309	0	0	0	1	20	60.2	60.2	60.2	60.2	60.2	60.2	0	14	14	14	14	14	14	0			
310	307	0	0	1	20	1.2	1.2	1.2	1.2	1.2	1.2	0	15	15	15	15	15	15	0			
311	308	0	0	1	20	1.2	1.2	1.2	1.2	1.2	1.2	0	16	16	16	16	16	16	0			
312	305	0	0	1	20	12.04	12.04	12.04	12.04	12.04	12.04	0	17	17	17	17	17	17	0			
313	309	0	0	1	20	1.2	1.2	1.2	1.2	1.2	1.2	0	18	18	18	18	18	18	0			
315	0	0	0	1	20	6.32	6.32	6.32	6.32	6.32	6.32	0	23	23	23	23	23	23	0			
316	315	0	0	1	20	0.5	0.5	0.5	0.5	0.5	0.5	0	24	24	24	24	24	24	0			
317	315	0	0	1	20	12.04	12.04	12.04	12.04	12.04	12.04	0	25	25	25	25	25	25	0			
318	315	0	0	1	20	12.04	12.04	12.04	12.04	12.04	12.04	0	26	26	26	26	26	26	0			
319	315	0	0	1	20	12.04	12.04	12.04	12.04	12.04	12.04	0	27	27	27	27	27	27	0			
320	315	0	0	1	20	12.04	12.04	12.04	12.04	12.04	12.04	0	28	28	28	28	28	28	0			
322	0	0	0	1	20	0	12.04	0	0	0	0	0	0	30	0	0	0	0	0			
324	322	0	0	1	20	0	12.04	0	0	0	0	0	0	34	0	0	0	0	0			
325	0	0	0	1	20	511.73	511.73	511.73	511.73	511.73	511.73	0	37	37	37	37	37	37	0			
326	0	0	22	1	20	0	5.02	0	0	0	0	0	0	41	0	0	0	0	0			
327	0	0	23	1	20	0	6.32	0	0	0	0	0	0	42	0	0	0	0	0			
328	0	0	19	1	20	0	6.32	0	0	0	0	0	0	43	0	0	0	0	0			
329	0	0	20	1	20	0	6.32	0	0	0	0	0	0	44	0	0	0	0	0			
330	0	0	41	1	20	0	6.32	0	0	0	0	0	0	45	0	0	0	0	0			
331	0	0	42	1	20	0	5.02	0	0	0	0	0	0	46	0	0	0	0	0			
332	0	0	330	1	20	0	1.2	0	0	0	0	0	0	49	0	0	0	0	0			
333	0	0	331	1	20	0	1.2	0	0	0	0	0	0	50	0	0	0	0	0			
334	0	0	0	1	20	102.35	102.35	102.35	102.35	102.35	102.35	0	51	51	52	52	52	52	0			
335	0	0	0	1	20	0	5.02	0	0	0	0	0	0	52	0	0	0	0	0			
336	0	0	43	1	20	0	5.02	0	0	0	0	0	0	53	0	0	0	0	0			
337	0	0	232	1	20	0	5.02	0	0	0	0	0	0	54	0	0	0	0	0			
338	334	0	0	1	20	102.35	102.35	102.35	102.35	102.35	102.35	0	55	55	56	56	56	56	0			
339	0	0	336	1	20	0	1.81	0	0	0	0	0	0	57	0	0	0	0	0			
340	0	0	337	1	20	0	1.81	0	0	0	0	0	0	58	0	0	0	0	0			
341	338	0	0	1	20	2.40	27.70	15.17	27.70	27.70	27.70	0	59	59	60	60	60	60	0			
342	0	0	339	1	20	0	1.81	0	0	0	0	0	0	61	0	0	0	0	0			
343	0	0	340	1	20	0	1.20	0	0	0	0	0	0	62	0	0	0	0	0			
344	0	0	0	10	10	0	0	0	0	0	0	0	0	66	0	66	0	0	0			
345	0	0	0	1	20	0	1.81	0	0	0	0	0	0	65	0	0	0	0	0			
